Year,County,Crashes
2001,Atlantic,8485
2002,Atlantic,8516
2003,Atlantic,8892
2004,Atlantic,9342
2005,Atlantic,9056
2006,Atlantic,8922
2007,Atlantic,9040
2008,Atlantic,8786
2009,Atlantic,8964
2010,Atlantic,8693
2011,Atlantic,7936
2012,Atlantic,8203
2013,Atlantic,7556
2014,Atlantic,7302
2015,Atlantic,7821
2016,Atlantic,7735
2017,Atlantic,7929
2018,Atlantic,7494
2019,Atlantic,8140
2020,Atlantic,5591
2001,Bergen,30282
2002,Bergen,30199
2003,Bergen,30639
2004,Bergen,29106
2005,Bergen,28317
2006,Bergen,26269
2007,Bergen,28360
2008,Bergen,27220
2009,Bergen,26969
2010,Bergen,28073
2011,Bergen,27637
2012,Bergen,25805
2013,Bergen,26684
2014,Bergen,27525
2015,Bergen,28605
2016,Bergen,29145
2017,Bergen,28952
2018,Bergen,29459
2019,Bergen,29722
2020,Bergen,19472
2001,Burlington,10425
2002,Burlington,11361
2003,Burlington,11925
2004,Burlington,11939
2005,Burlington,11422
2006,Burlington,11196
2007,Burlington,11436
2008,Burlington,10760
2009,Burlington,11038
2010,Burlington,11339
2011,Burlington,10833
2012,Burlington,10449
2013,Burlington,11039
2014,Burlington,11413
2015,Burlington,11797
2016,Burlington,12124
2017,Burlington,11822
2018,Burlington,12238
2019,Burlington,11172
2020,Burlington,8888
2001,Camden,14302
2002,Camden,14541
2003,Camden,15379
2004,Camden,15706
2005,Camden,15264
2006,Camden,14646
2007,Camden,15564
2008,Camden,14941
2009,Camden,15081
2010,Camden,14213
2011,Camden,13023
2012,Camden,12727
2013,Camden,13324
2014,Camden,12801
2015,Camden,12545
2016,Camden,13545
2017,Camden,15176
2018,Camden,15755
2019,Camden,14950
2020,Camden,11002
2001,Cape May,2874
2002,Cape May,3037
2003,Cape May,3018
2004,Cape May,3000
2005,Cape May,3100
2006,Cape May,2916
2007,Cape May,2847
2008,Cape May,2667
2009,Cape May,2700
2010,Cape May,2871
2011,Cape May,2827
2012,Cape May,2615
2013,Cape May,2856
2014,Cape May,2627
2015,Cape May,2884
2016,Cape May,2879
2017,Cape May,2650
2018,Cape May,2532
2019,Cape May,2478
2020,Cape May,2023
2001,Cumberland,4432
2002,Cumberland,4424
2003,Cumberland,4850
2004,Cumberland,5085
2005,Cumberland,4539
2006,Cumberland,4153
2007,Cumberland,4373
2008,Cumberland,4178
2009,Cumberland,4343
2010,Cumberland,3749
2011,Cumberland,3834
2012,Cumberland,3759
2013,Cumberland,4130
2014,Cumberland,4250
2015,Cumberland,4411
2016,Cumberland,4197
2017,Cumberland,4467
2018,Cumberland,3706
2019,Cumberland,3726
2020,Cumberland,3237
2001,Essex,33174
2002,Essex,33663
2003,Essex,31768
2004,Essex,30908
2005,Essex,29726
2006,Essex,24485
2007,Essex,22642
2008,Essex,27801
2009,Essex,25703
2010,Essex,25067
2011,Essex,23680
2012,Essex,23222
2013,Essex,23667
2014,Essex,25734
2015,Essex,27267
2016,Essex,28019
2017,Essex,29639
2018,Essex,30078
2019,Essex,30287
2020,Essex,20271
2001,Gloucester,5610
2002,Gloucester,6244
2003,Gloucester,6612
2004,Gloucester,6890
2005,Gloucester,7082
2006,Gloucester,6540
2007,Gloucester,6751
2008,Gloucester,6778
2009,Gloucester,7014
2010,Gloucester,6803
2011,Gloucester,6511
2012,Gloucester,5807
2013,Gloucester,5591
2014,Gloucester,5740
2015,Gloucester,7032
2016,Gloucester,7587
2017,Gloucester,7515
2018,Gloucester,7713
2019,Gloucester,7121
2020,Gloucester,6022
2001,Hudson,22776
2002,Hudson,22452
2003,Hudson,21580
2004,Hudson,20687
2005,Hudson,19375
2006,Hudson,18090
2007,Hudson,19214
2008,Hudson,18181
2009,Hudson,17578
2010,Hudson,18046
2011,Hudson,18167
2012,Hudson,17801
2013,Hudson,17545
2014,Hudson,18031
2015,Hudson,19190
2016,Hudson,20673
2017,Hudson,19237
2018,Hudson,19627
2019,Hudson,19729
2020,Hudson,12711
2001,Hunterdon,3452
2002,Hunterdon,3357
2003,Hunterdon,3701
2004,Hunterdon,3887
2005,Hunterdon,3766
2006,Hunterdon,3648
2007,Hunterdon,3778
2008,Hunterdon,3586
2009,Hunterdon,3777
2010,Hunterdon,3547
2011,Hunterdon,3375
2012,Hunterdon,3524
2013,Hunterdon,3393
2014,Hunterdon,3754
2015,Hunterdon,3808
2016,Hunterdon,3836
2017,Hunterdon,3873
2018,Hunterdon,4033
2019,Hunterdon,3921
2020,Hunterdon,2741
2001,Mercer,12214
2002,Mercer,12831
2003,Mercer,13372
2004,Mercer,13361
2005,Mercer,12943
2006,Mercer,12040
2007,Mercer,12169
2008,Mercer,11540
2009,Mercer,11825
2010,Mercer,11772
2011,Mercer,12039
2012,Mercer,10931
2013,Mercer,11703
2014,Mercer,11041
2015,Mercer,12059
2016,Mercer,12262
2017,Mercer,10337
2018,Mercer,10473
2019,Mercer,11576
2020,Mercer,7495
2001,Middlesex,26861
2002,Middlesex,27499
2003,Middlesex,27210
2004,Middlesex,27652
2005,Middlesex,26997
2006,Middlesex,26467
2007,Middlesex,27463
2008,Middlesex,26392
2009,Middlesex,25421
2010,Middlesex,25988
2011,Middlesex,25867
2012,Middlesex,24699
2013,Middlesex,24479
2014,Middlesex,25920
2015,Middlesex,26460
2016,Middlesex,27501
2017,Middlesex,27210
2018,Middlesex,28965
