County,Crashes
Morris,-40.76923076923077
Middlesex,-37.328909166321026
Somerset,-37.1072690091095
Hudson,-35.57200060824168
Mercer,-35.253973738769865
Union,-34.91568655235936
Bergen,-34.486239149451585
Essex,-33.07029418562419
Atlantic,-31.314496314496314
Hunterdon,-30.094363682734
Passaic,-29.105518665253054
Camden,-26.40802675585284
Monmouth,-25.41269206603073
Warren,-21.344588483569492
Sussex,-20.59986816084377
Burlington,-20.443967060508413
Ocean,-20.125450420392365
Salem,-18.68833430063842
Cape May,-18.361581920903955
Gloucester,-15.43322567055189
Cumberland,-13.123993558776167
