,Year,County,Crashes,yoy_change
0,2001,Atlantic,8485,
1,2002,Atlantic,8516,31.0
2,2003,Atlantic,8892,376.0
3,2004,Atlantic,9342,450.0
4,2005,Atlantic,9056,-286.0
5,2006,Atlantic,8922,-134.0
6,2007,Atlantic,9040,118.0
7,2008,Atlantic,8786,-254.0
8,2009,Atlantic,8964,178.0
9,2010,Atlantic,8693,-271.0
10,2011,Atlantic,7936,-757.0
11,2012,Atlantic,8203,267.0
12,2013,Atlantic,7556,-647.0
13,2014,Atlantic,7302,-254.0
14,2015,Atlantic,7821,519.0
15,2016,Atlantic,7735,-86.0
16,2017,Atlantic,7929,194.0
17,2018,Atlantic,7494,-435.0
18,2019,Atlantic,8140,646.0
19,2020,Atlantic,5591,-2549.0
20,2001,Bergen,30282,
21,2002,Bergen,30199,-83.0
22,2003,Bergen,30639,440.0
23,2004,Bergen,29106,-1533.0
24,2005,Bergen,28317,-789.0
25,2006,Bergen,26269,-2048.0
26,2007,Bergen,28360,2091.0
27,2008,Bergen,27220,-1140.0
28,2009,Bergen,26969,-251.0
29,2010,Bergen,28073,1104.0
30,2011,Bergen,27637,-436.0
31,2012,Bergen,25805,-1832.0
32,2013,Bergen,26684,879.0
33,2014,Bergen,27525,841.0
34,2015,Bergen,28605,1080.0
35,2016,Bergen,29145,540.0
36,2017,Bergen,28952,-193.0
37,2018,Bergen,29459,507.0
38,2019,Bergen,29722,263.0
39,2020,Bergen,19472,-10250.0
40,2001,Burlington,10425,
41,2002,Burlington,11361,936.0
42,2003,Burlington,11925,564.0
43,2004,Burlington,11939,14.0
44,2005,Burlington,11422,-517.0
45,2006,Burlington,11196,-226.0
46,2007,Burlington,11436,240.0
47,2008,Burlington,10760,-676.0
48,2009,Burlington,11038,278.0
49,2010,Burlington,11339,301.0
50,2011,Burlington,10833,-506.0
51,2012,Burlington,10449,-384.0
52,2013,Burlington,11039,590.0
53,2014,Burlington,11413,374.0
54,2015,Burlington,11797,384.0
55,2016,Burlington,12124,327.0
56,2017,Burlington,11822,-302.0
57,2018,Burlington,12238,416.0
58,2019,Burlington,11172,-1066.0
59,2020,Burlington,8888,-2284.0
60,2001,Camden,14302,
61,2002,Camden,14541,239.0
62,2003,Camden,15379,838.0
63,2004,Camden,15706,327.0
64,2005,Camden,15264,-442.0
65,2006,Camden,14646,-618.0
66,2007,Camden,15564,918.0
67,2008,Camden,14941,-623.0
68,2009,Camden,15081,140.0
69,2010,Camden,14213,-868.0
70,2011,Camden,13023,-1190.0
71,2012,Camden,12727,-296.0
72,2013,Camden,13324,597.0
73,2014,Camden,12801,-523.0
74,2015,Camden,12545,-256.0
75,2016,Camden,13545,1000.0
76,2017,Camden,15176,1631.0
77,2018,Camden,15755,579.0
78,2019,Camden,14950,-805.0
79,2020,Camden,11002,-3948.0
80,2001,Cape May,2874,
81,2002,Cape May,3037,163.0
82,2003,Cape May,3018,-19.0
83,2004,Cape May,3000,-18.0
84,2005,Cape May,3100,100.0
85,2006,Cape May,2916,-184.0
86,2007,Cape May,2847,-69.0
87,2008,Cape May,2667,-180.0
88,2009,Cape May,2700,33.0
89,2010,Cape May,2871,171.0
90,2011,Cape May,2827,-44.0
91,2012,Cape May,2615,-212.0
92,2013,Cape May,2856,241.0
93,2014,Cape May,2627,-229.0
94,2015,Cape May,2884,257.0
95,2016,Cape May,2879,-5.0
96,2017,Cape May,2650,-229.0
97,2018,Cape May,2532,-118.0
98,2019,Cape May,2478,-54.0
99,2020,Cape May,2023,-455.0
100,2001,Cumberland,4432,
101,2002,Cumberland,4424,-8.0
102,2003,Cumberland,4850,426.0
103,2004,Cumberland,5085,235.0
104,2005,Cumberland,4539,-546.0
105,2006,Cumberland,4153,-386.0
106,2007,Cumberland,4373,220.0
107,2008,Cumberland,4178,-195.0
108,2009,Cumberland,4343,165.0
109,2010,Cumberland,3749,-594.0
110,2011,Cumberland,3834,85.0
111,2012,Cumberland,3759,-75.0
112,2013,Cumberland,4130,371.0
113,2014,Cumberland,4250,120.0
114,2015,Cumberland,4411,161.0
115,2016,Cumberland,4197,-214.0
116,2017,Cumberland,4467,270.0
117,2018,Cumberland,3706,-761.0
118,2019,Cumberland,3726,20.0
119,2020,Cumberland,3237,-489.0
120,2001,Essex,33174,
121,2002,Essex,33663,489.0
122,2003,Essex,31768,-1895.0
123,2004,Essex,30908,-860.0
124,2005,Essex,29726,-1182.0
125,2006,Essex,24485,-5241.0
126,2007,Essex,22642,-1843.0
127,2008,Essex,27801,5159.0
128,2009,Essex,25703,-2098.0
129,2010,Essex,25067,-636.0
130,2011,Essex,23680,-1387.0
131,2012,Essex,23222,-458.0
132,2013,Essex,23667,445.0
133,2014,Essex,25734,2067.0
134,2015,Essex,27267,1533.0
135,2016,Essex,28019,752.0
136,2017,Essex,29639,1620.0
137,2018,Essex,30078,439.0
138,2019,Essex,30287,209.0
139,2020,Essex,20271,-10016.0
140,2001,Gloucester,5610,
141,2002,Gloucester,6244,634.0
142,2003,Gloucester,6612,368.0
143,2004,Gloucester,6890,278.0
144,2005,Gloucester,7082,192.0
145,2006,Gloucester,6540,-542.0
146,2007,Gloucester,6751,211.0
147,2008,Gloucester,6778,27.0
148,2009,Gloucester,7014,236.0
149,2010,Gloucester,6803,-211.0
150,2011,Gloucester,6511,-292.0
151,2012,Gloucester,5807,-704.0
152,2013,Gloucester,5591,-216.0
153,2014,Gloucester,5740,149.0
154,2015,Gloucester,7032,1292.0
155,2016,Gloucester,7587,555.0
156,2017,Gloucester,7515,-72.0
157,2018,Gloucester,7713,198.0
158,2019,Gloucester,7121,-592.0
159,2020,Gloucester,6022,-1099.0
160,2001,Hudson,22776,
161,2002,Hudson,22452,-324.0
162,2003,Hudson,21580,-872.0
163,2004,Hudson,20687,-893.0
164,2005,Hudson,19375,-1312.0
165,2006,Hudson,18090,-1285.0
166,2007,Hudson,19214,1124.0
167,2008,Hudson,18181,-1033.0
168,2009,Hudson,17578,-603.0
169,2010,Hudson,18046,468.0
170,2011,Hudson,18167,121.0
171,2012,Hudson,17801,-366.0
172,2013,Hudson,17545,-256.0
173,2014,Hudson,18031,486.0
174,2015,Hudson,19190,1159.0
175,2016,Hudson,20673,1483.0
176,2017,Hudson,19237,-1436.0
177,2018,Hudson,19627,390.0
178,2019,Hudson,19729,102.0
